Year: 2015,Month: 5,Day: 7
,EB,NB,SB,WB
2,6,15,23,8
3,6,34,20,5
4,11,140,20,8
5,14,243,42,14
6,33,460,89,35
7,61,549,188,64
8,73,435,241,56
9,102,376,244,70
10,92,406,289,96
11,112,415,365,95
12,114,416,394,106
13,129,436,412,102
14,132,450,511,87
15,170,399,555,126
16,172,416,608,178
17,192,439,654,157
18,179,387,652,129
19,132,274,509,134
20,120,194,410,118
21,85,133,345,105
22,40,93,158,47
23,35,50,101,23

Year: 2015,Month: 8,Day: 20
,EB,NB,SB,WB
0,10,15,29,7
1,11,21,38,14
2,9,18,38,4
3,1,27,12,4
4,6,129,22,8
5,15,269,50,18
6,29,442,90,37
7,66,544,188,49
8,85,452,216,63
9,98,358,235,80
10,111,405,291,84
11,97,410,372,88
12,126,407,404,97
13,138,437,444,98
14,150,422,525,132
15,165,416,535,133
16,191,420,646,141
17,198,468,642,142
18,162,391,632,131
19,130,293,574,138
20,130,228,527,132
21,87,137,315,90
22,47,107,166,40
23,34,51,112,33

Year: 2015,Month: 8,Day: 21
,EB,NB,SB,WB
0,8,14,40,6
1,6,14,50,7
2,10,22,26,10
3,6,28,15,7
4,4,110,28,7
5,13,210,44,10
6,23,385,108,34
7,45,487,178,58
8,78,406,210,74
9,96,404,243,60
10,105,421,280,87
11,89,419,400,80
12,116,444,450,98
13,120,470,508,108
14,152,402,567,123
15,178,440,565,131
16,184,461,686,168
17,194,424,685,193
18,177,378,564,147
19,122,279,528,126
20,120,264,370,110
21,100,156,316,104
22,67,120,224,69
23,30,61,157,53

Year: 2015,Month: 8,Day: 22
,EB,NB,SB,WB
0,15,24,59,18
1,12,26,57,16
2,15,15,37,7
3,3,30,19,3
4,3,33,17,6
5,7,56,20,2
6,10,100,43,16
7,36,160,88,27
8,60,235,176,63
9,102,405,227,83
10,107,503,325,73
11,141,538,433,115
12,146,539,443,139
13,150,479,442,130
14,159,467,472,146
15,164,514,653,169
16,112,455,543,142
17,124,390,486,130
18,127,363,431,113
19,113,272,337,117
20,102,215,332,99
21,83,169,304,85
22,53,97,182,62
23,40,54,128,33

Year: 2015,Month: 8,Day: 23
,EB,NB,SB,WB
0,13,18,63,17
1,25,30,51,13
2,17,12,52,12
3,10,20,15,5
4,6,28,21,7
5,6,30,13,2
6,16,60,33,6
7,26,101,56,9
8,54,189,113,41
9,62,351,157,53
10,84,435,237,81
11,95,458,336,107
12,132,465,442,122
13,119,437,460,141
14,104,435,495,121
15,125,400,459,112
16,128,401,418,139
17,131,364,429,145
18,134,319,423,145
19,99,245,342,132
20,93,202,331,75
21,71,136,170,74
22,41,75,131,45
23,23,47,90,24

Year: 2015,Month: 8,Day: 24
,EB,NB,SB,WB
0,11,17,21,8
1,12,17,32,6
2,8,13,14,4
3,6,41,13,3
4,9,118,10,6
5,13,259,41,15
6,31,412,108,34
7,57,536,166,76
8,81,407,234,64
9,86,385,251,64
10,83,404,269,70
11,96,407,346,86
12,112,405,437,100
13,119,442,463,124
14,126,418,524,102
15,164,410,586,145
16,193,402,637,176
17,191,444,741,175
18,193,360,661,176
19,127,255,452,130
20,113,232,387,122
21,76,156,271,78
22,38,60,162,54
23,29,51,82,22

Year: 2015,Month: 8,Day: 25
,EB,NB,SB,WB
0,6,12,26,9
1,18,11,31,12
2,7,15,21,6
3,6,35,16,5
4,6,134,7,5
5,15,265,53,17
6,26,451,96,28
7,61,534,191,65
8,74,445,260,76
9,96,390,215,60
10,89,383,287,74
11,102,410,343,93
12,107,435,370,103
13,136,437,432,103
14,133,410,476,99
15,149,378,604,130
16,153,385,620,140
17,208,432,715,181
18,186,404,677,153
19,129,294,462,137
20,115,195,432,148
21,79,158,284,79
22,51,70,183,53
23,29,45,93,23

Year: 2015,Month: 8,Day: 26
,EB,NB,SB,WB
0,8,13,28,13
1,7,16,40,3
2,6,11,32,4
3,2,40,16,2
4,7,122,19,8
5,16,247,48,14
6,22,421,103,31
7,57,562,165,71
8,92,433,257,54
9,84,404,243,70
10,97,418,282,93
11,119,400,371,99
12,119,427,410,110
13,121,404,428,104
14,156,383,556,110
15,165,455,563,143
16,199,431,630,150
17,203,437,713,169
18,191,390,627,191
19,141,281,494,147
20,119,205,395,106
21,78,143,316,86
22,41,82,186,56
23,33,37,98,25

Year: 2015,Month: 8,Day: 27
,EB,NB,SB,WB
0,9,12,34,9
1,6,14,29,8
2,6,16,28,7
3,4,35,17,6
4,12,127,12,9
5,17,250,43,18
6,30,450,107,41
7,49,561,193,61
8,79,464,245,56
9,84,354,251,67
10,94,373,288,85
11,122,426,358,103
12,118,455,481,116
13,137,458,441,100
14,131,454,501,112
15,174,415,644,124
16,184,404,616,165
17,232,463,679,179
18,181,426,661,178
19,141,302,542,137
20,135,218,398,102
21,84,156,357,102
22,56,88,174,47
